annee,instrument
2017,Violoncelle
2016,Piano
2015,Violon
2014,Chant
2013,Piano
2012,Composition
2012,Violon
2011,Chant
2011,Composition
2010,Piano
2009,Composition
2009,Violon
2009,Composition
2008,Chant
2007,Piano
2006,Composition
2005,Violon
2004,Chant
2004,Composition
2003,Piano
2002,Composition
2001,Violon
2001,Composition
2000,Chant
1999,Piano
1999,Composition
1997,Violon
1997,Composition
1996,Chant
1995,Piano
1995,Composition
1993,Violon
1993,Composition
1992,Chant
1991,Piano
1991,Composition
1989,Violon
1988,Chant
1987,Piano
1985,Violon
1983,Piano
1982,Composition
1980,Violon
1978,Piano
1977,Composition (orchestre symphonique)
1977,Composition (concerto pour quatuor Ã  cordes)
1976,Violon
1975,Piano
1972,Piano
1971,Violon
1969,Composition (orchestre symphonique)
1969,Composition (concerto pour violon)
1968,Piano
1967,Violon
1965,Composition (orchestre symphonique)
1965,Composition (concerto pour violon)
1964,Piano
1963,Violon
1961,Composition (orchestre symphonique)
1961,Composition (orchestre de chambre)
1960,Piano
1960,Composition
1959,Violon
1957,Composition (orchestre symphonique)
1957,Composition (orchestre de chambre)
1956,Piano
1955,Violon
1953,Composition
1952,Piano
1951,Violon
1938,Piano
1937,Violon